	labels	sentence	index
60	[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	In conclusion , chronic exposure to the hepatotoxic ( ascite-inducing ) doses of NDMA suppressed humoral and cellular immunity .	1433375_s6
62	[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Although no direct NDMA-related cancer was reported in humans , our data point to a potential epigenetic carcinogenicity of nitrosamines due to chronic immunosuppression .	1433375_s8
64	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	In this study , proteins involved in the regulation of cell cycle arrest and apoptosis were studied as possible factors responsible for uncontrolled cell growth in colorectal cancer .	11896073_s1
65	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	METHODS The expression of proteins involved in these processes was investigated in 48 metastases from patients with colorectal cancer and compared with eight normal colon mucosa samples and 14 primary tumours .	11896073_s2
67	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The expression of thymidylate synthase ( TS ) , p53 , retinoblastoma protein ( Rb ) , Fas receptor , Fas ligand , bcl-2 , mcl-1 , bax , and bcl-x was measured using immunohistochemistry .	11896073_s4
68	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Proliferation was determined by Ki67 staining , whereas apoptosis was assessed by M30 immunostaining , which recognises cleaved cytokeratin 18 .	11896073_s5
70	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]	Fas receptor expression was high in normal mucosa but absent in primary tumours and metastases , whereas the opposite was seen for p53 .	11896073_s7
73	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]	CONCLUSIONS These results demonstrate that proliferation and apoptosis are disturbed during colorectal cancer progression , and this is accompanied by loss of Rb and Fas expression , the accumulation of p53 and TS , and changes in the expression patterns of bax , mcl-1 , and bcl-xl .	11896073_s10
74	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The radioprotective effects of dimethyl sulfoxide ( DMSO ) have been known for many years , and the suppression of hydroxyl ( OH ) radicals induced by ionizing radiation has been thought to be the main cause of this effect .	21116101_s0
75	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	However , the DMSO concentration used was very high , and might be toxic , in earlier studies .	21116101_s1
76	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	In the present study , we administered a lower , non-toxic concentration ( 0.5% , i.e. , 64 mM ) of DMSO before irradiation and examined its radioprotective effects .	21116101_s2
77	[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]	Colony formation assay and micronucleus assay showed significant radioprotective effects in CHO , but not in xrs5 , which is defective in the repair function of DNA double-strand breaks .	21116101_s3
79	[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]	On the other hand , 2 hours after irradiation , the average number of 53BP1 foci , which might reflect residual DNA double-strand breaks , was significantly decreased in DMSO-treated CHO cells compared to non-treated cells .	21116101_s5
80	[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]	The results indicated that low concentration of DMSO exerts radioprotective effects through the facilitation of DNA double-strand break repair rather than through the suppression of indirect action .	21116101_s6
81	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Androgens regulate both the physiological development of the prostate and the pathology of prostatic diseases .	23250485_s0
83	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]	In this study , we have determined that androgens regulate overall cell metabolism and cell growth , in part , by increasing autophagy in prostate cancer cells .	23250485_s2
84	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Importantly , inhibition of autophagy using either pharmacological or molecular inhibitors significantly abrogated androgen-induced prostate cancer cell growth .	23250485_s3
85	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Mechanistically , androgen-mediated autophagy appears to promote cell growth by augmenting intracellular lipid accumulation , an effect previously demonstrated to be necessary for prostate cancer cell growth .	23250485_s4
86	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]	Further , autophagy and subsequent cell growth is potentiated , in part , by androgen-mediated increases in reactive oxygen species .	23250485_s5
87	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]	These findings demonstrate a role for increased fat metabolism and autophagy in prostatic neoplasias and highlight the potential of targeting underexplored metabolic pathways for the development of novel therapeutics .	23250485_s6
88	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Cis-diamminedichloroplatinum ( II ) ( cisplatin ) is a well characterized antitumor drug used for the treatment of a variety of human cancers .	12489119_s0
89	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The cytotoxicity of cisplatin is mainly mediated through the formation of DNA adducts , which are also believed to be responsible for the secondary malignancies produced by the drug .	12489119_s1
90	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The aim of this study was to determine the in vivo mutagenic activity of cisplatin in the lacZ plasmid-based transgenic mouse model .	12489119_s2
91	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The mutant frequency ( MF ) and the spectrum of mutations induced by cisplatin in the mouse liver were analyzed and compared to controls .	12489119_s3
92	[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]	The mean MF in the lacZ gene was increased 2-fold in mice treated with a single 6 mg/kg body weight dose of cisplatin and sacrificed after 17 and 28 days ( P = 0.001 and P < 0.0001 ) .	12489119_s4
93	[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]	Restriction analysis and sequencing of mutant DNA showed that cisplatin was able to induce both large deletions and point mutations .	12489119_s5
94	[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]	A specific profile of base substitution and frameshift mutations was identified in treated mice , consisting primarily of G:C-->A:T transitions at GpG and ApG sites , the preferential DNA binding sites of cisplatin , and single basepair deletions/insertions .	12489119_s6
95	[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]	The present results provide the first evidence that cisplatin has mutagenic activity in vivo and induces a characteristic pattern of mutations in the mouse liver .	12489119_s7
96	[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]	This mutagenicity may be responsible for its tumorigenic activity .	12489119_s8
97	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	A prominent feature of inflammatory diseases is endothelial dysfunction .	23132960_s0
98	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Factors associated with endothelial dysfunction include proinflammatory cytokines , adhesion molecules , and matrix degrading enzymes .	23132960_s1
99	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	At the transcriptional level , they are regulated by the histone deacetylase sirtuin ( SIRT ) 1 via its actions on the proinflammatory transcription factor nuclear factor-κB ( NF-κB ) .	23132960_s2
100	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The role of SIRT6 , also a histone deacetylase , in regulating inflammation in endothelial cells is not known .	23132960_s3
102	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	LPS decreased expression of SIRT6 in HUVECs .	23132960_s5
103	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]	Knockdown of SIRT6 increased the expression of proinflammatory cytokines ( IL-1β , IL-6 , IL-8 ) , COX-prostaglandin system , ECM remodelling enzymes ( MMP-2 , MMP-9 and PAI-1 ) , the adhesion molecule ICAM-1 , and proangiogenic growth factors VEGF and FGF-2 ; cell migration ; cell adhesion to leukocytes .	23132960_s6
104	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Loss of SIRT6 increased the expression of NF-κB , whereas overexpression of SIRT6 was associated with decreased NF-κB transcriptional activity .	23132960_s7
105	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]	Taken together , these results demonstrate that the loss of SIRT6 in endothelial cells is associated with upregulation of genes involved in inflammation , vascular remodelling , and angiogenesis .	23132960_s8
106	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]	SIRT6 may be a potential pharmacological target for inflammatory vascular diseases .	23132960_s9
109	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	It has been shown that secreted miRNAs within exosomes can be transferred from cell to cell and can regulate gene expression in the receiving cells by canonical binding to their target messenger RNAs .	22753494_s2
111	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Thus , by acting as paracrine agonists of TLRs , secreted miRNAs are key regulators of the tumor microenvironment .	22753494_s4
112	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	This mechanism of action of miRNAs is implicated in tumor-immune system communication and is important in tumor growth and spread , thus representing a possible target for cancer treatment .	22753494_s5
114	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Mandibular molar tooth buds harvested from swine fetuses at fetal days90-110 were cultured in growth medium supplemented with 15% fetal bovine serum in 100-mm culture dishes until the primary cells outgrown from the tooth buds reached confluence .	23435856_s1
115	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	A morphologically defined set of pavement-shaped primary cells were picked up manually with filter paper containing trypsin/ethylenediamine tetraacetic acid solution and transferred to a separate dish .	23435856_s2
117	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The isolated cells grew in a pavement arrangement and showed the characteristics of contact inhibition upon reaching confluence .	23435856_s4
118	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The population doubling time was at passage 3 .	23435856_s5
119	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	As shown by immunocytostaining and western blotting with specific antibodies , the cells produced the endothelial marker proteins such as vascular endothelial cadherin , von Willebrand factor , and vascular endothelial growth factor receptor-2 .	23435856_s6
121	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Moreover , as revealed through transmission electron microscopy , these adherent cells had formed junctional complexes .	23435856_s8
122	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	These endothelial cells from the tooth buds of miniature swine are available as cell lines for studies on tube formation and use in regenerative medical science .	23435856_s9
123	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Glioma tumors are refractory to conventional treatment .	21921941_s0
124	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Glioblastoma multiforme is the most aggressive type of primary brain tumors in humans .	21921941_s1
125	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	In this study , we introduce oxidative stress-energy depletion ( OSED ) therapy as a new suggested treatment for glioblastoma .	21921941_s2
126	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	OSED utilizes D-amino acid oxidase ( DAO ) , which is a promising therapeutic protein that induces oxidative stress and apoptosis through generating hydrogen peroxide ( H2O2 ) .	21921941_s3
127	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	OSED combines DAO with 3-bromopyruvate ( 3BP ) , a hexokinase II ( HK II ) inhibitor that interferes with Warburg effect , a metabolic alteration of most tumor cells that is characterized by enhanced aerobic glycolysis .	21921941_s4
128	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Our data revealed that 3BP induced depletion of energetic capabilities of glioma cells. 3BP induced H2O2 production as a novel mechanism of its action .	21921941_s5
131	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	OSED treatment was safe and tolerable in SD rats .	21921941_s8
132	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	OSED therapy may be a promising therapeutic modality for glioma .	21921941_s9
134	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	It is reported that the risk of skin cancer in humans increases by the depletion of the ozone layer .	12659514_s1
136	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Recently , we have demonstrated that light of wavelength up to 340 nm is mutagenic on Drosophila larvae .	12659514_s3
137	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Using an excision repair-deficient Drosophila strain ( mus201 ) , we have obtained results suggesting that the lesion caused in larvae by the 320 nm-light irradiation may be similar to the damage induced by irradiation at 310 nm , and that light of 330 and 340 nm may induce damage different from that induced by 310 and 320 nm-light .	12659514_s4
138	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	To examine the difference in DNA damage induced by light of a particular wavelength , we performed monochromatic irradiation on larvae of two Drosophila strains ; one excision repair-deficient ( mei-9 ) and another postreplication repair-deficient ( mei-41). 310 and 320 nm-light was more mutagenic in the mei-9 strain than in mei-41 , whereas 330 and 340 nm-light was more mutagenic in mei-41 than in mei-9 .	12659514_s5
139	[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	It is demonstrated that the mei-41 gene is a homologue of the human atm gene which is responsible for a cell cycle checkpoint .	12659514_s6
140	[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]	This result suggests that 310-320 nm-light induces DNA damage that is subject to nucleotide excision repair ( NER ) and that 330-360 nm-light causes damage to be recognized by the cell cycle checkpoint but it is not repairable by NER .	12659514_s7
141	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Genetic immunotherapy with tumor antigen gene-modified dendritic cells ( DC ) generates robust immunity , although antitumor protection is not complete in all models .	12386826_s0
142	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Previous experience in a model in which C57BL/6 mice immunized with DC transduced with adenoviral vectors expressing MART-1 demonstrated a 20-40% complete protection to a tumor challenge with B16 melanoma cells .	12386826_s1
143	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Tumors that did develop in immunized mice had slower growth kinetics compared to tumors implanted in na�ve mice .	12386826_s2
144	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	In the present study , we wished to determine if the supraphysiological production of the Th1-skewing cytokine interleukin-12 ( IL-12 ) could enhance immune activation and antitumor protection in this model .	12386826_s3
145	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	In a series of experiments immunizing mice with DC cotransduced with MART-1 and IL-12 , antitumor protection and antigen-specific splenocyte cytotoxicity and interferon gamma production inversely correlated with the amount of IL-12 produced by DC .	12386826_s4
148	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Recently , the use of gold nanoparticles as potential tumor selective radiosensitizers has been proposed as a breakthrough in radiotherapy .	20101074_s0
149	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Experiments in living cells and in vivo have demonstrated the efficiency of the metal nanoparticles when combined with low energy x-ray radiations ( below conventional 1 MeV Linac radiation ) .	20101074_s1
150	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Further studies on DNA have been performed in order to better understand the fundamental processes of sensitization and to further improve the method .	20101074_s2
151	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	In this work , we propose a new strategy based on the combination of platinum nanoparticles with irradiation by fast ions effectively used in hadron therapy .	20101074_s3
