	labels	sentence	index
13	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Initially , he had been treated with antibiotics , without improvement .	20839428_s3
14	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Several days before admission , chest radiography revealed pulmonary infiltrates in the left lower lobe .	20839428_s4
16	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Laboratory values were notable for leukopenia , 3.3 x 10(9)/L ; total protein , 5.9 g/dL ; globulin , 2.2 g/dL ; serum glutamic oxaloacetic transaminase , 86 IU/L ; serum glutamic pyruvic transaminase , 71 IU/L ; and lactate dehydrogenase , 519 U/L .	20839428_s6
17	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Computed tomograph ( CT ) of the chest showed multiple alveolar opacities bilaterally ( Figure 2 ) .	20839428_s7
18	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Fiberoptic bronchoscopy did not reveal any important pathologic findings .	20839428_s8
19	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Results of bronchial biopsy , cytology of bronchoalveolar lavage , washing , brushing , and sputum following bronchoscopy were negative .	20839428_s9
20	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	CT of the brai and sinonasal area revealed an abnormal low-density mass in the left nasal area .	20839428_s10
22	[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	There was no evidence of immunosuppression .	20839428_s12
23	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The differential diagnosis , considering the evidence described , included granulomatous or infectious diseases , angiocentric lymphoproliferative lesions , and lymphomas .	20839428_s13
24	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]	Biopsy of a skin lesion showed lymphoproliferative infiltration of the dermis with a follicular and angiocentric growth pattern and regional epidermal necrosis .	20839428_s14
25	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Immunohistochemical stains showed that the tumor cell were positive for CD56 and CD3 ( cytoplasmic positivity ) and expressed the cytotoxic proteins T-cell intracellular antigen and granzyme B ( Figure 3 ) They lacked TdT , CD34 , CD7 , CD8 , TCL-1 , and CD123 .	20839428_s15
27	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Give this result , molecular analysis ofT-cell receptor ( TCR ) gene rearrangements was performed using polymerase chain reaction-based TCR-gamma gene , wit negative results .	20839428_s17
28	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The morphology and the immunophenotype were consistent with natural killer/T-cell lymphoma , nasal-type .	20839428_s18
29	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Nasal involvement must be first excluded to proceed to the diagnosis of nasal-type natural killer-cell lymphoma .	20839428_s19
31	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Thus , the authors were led to the diagnosis of extranodal extranasal natural killer/T-cell lymphoma , nasal-type , CD56-positive , Ep stein-Barr virus-negative , TCR-negative .	20839428_s21
33	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Skin lesions improved , and there was no fever soon after the initiation of therapy .	20839428_s23
34	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Reevaluatio after the fourth cycle , however , disclosed pulmonary infiltrations as well as leukemic infiltration of the central nervous system .	20839428_s24
35	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The patient had receive systemic salvage chemotherapy and intrathecal infusions of methotrexate .	20839428_s25
36	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Although the lung lesions had diminished at that time , the patient develope paraplegia , his clinical course rapidly deteriorated , and he eventually died .	20839428_s26
37	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	MicroRNAs ( miRs ) are small non-coding RNAs that recently emerged as potent regulators of gene expression .	22797777_s0
38	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The members of the miR-17-92 cluster have been shown to control endothelial cell functions and neovascularization ; however , the regulation and function of the cluster in endothelial cell lineage commitment has not been explored .	22797777_s1
39	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	This project aimed to test the role of the miR-17-92 cluster during endothelial differentiation .	22797777_s2
40	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	We demonstrate that miR-17 , miR-18 , miR-19 and miR-20 are increased upon the induction of endothelial cell differentiation of murine embryonic stem cells or induced pluripotent stem cells .	22797777_s3
41	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	In contrast , miR-92a and the primary miR-17-92 transcript were downregulated .	22797777_s4
44	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]	These findings illustrate that although the miR-17-92 cluster regulates vascular integrity and angiogenesis , none of the members has a significant impact on the endothelial differentiation of pluripotent stem cells .	22797777_s7
45	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The solution structure of the complex of enzyme IIA of the N,N'-diacetylchitobiose ( Chb ) transporter with the histidine phosphocarrier protein HPr has been solved by NMR .	22593574_s0
47	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The active site His-89 of IIA(Chb) was mutated to Glu to mimic the phosphorylated state .	22593574_s2
48	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	IIA(Chb)(H89E) and HPr form a weak complex with a K(D) of mM .	22593574_s3
49	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The interacting binding surfaces , concave for IIA(Chb) and convex for HPr , complement each other in terms of shape , residue type , and charge distribution , with predominantly hydrophobic residues , interspersed by some uncharged polar residues , located centrally , and polar and charged residues at the periphery .	22593574_s4
50	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The active site histidine of HPr , His-15 , is buried within the active site cleft of IIA(Chb) formed at the interface of two adjacent subunits of the IIA(Chb) trimer , thereby coming into close proximity with the active site residue , H89E , of IIA(Chb) .	22593574_s5
51	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	A His89-P-His-15 pentacoordinate phosphoryl transition state can readily be modeled without necessitating any significant conformational changes , thereby facilitating rapid phosphoryl transfer .	22593574_s6
52	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Comparison of the IIA(Chb)-HPr complex with the IIA(Chb)-IIB(Chb) complex , as well as with other cytoplasmic complexes of the PTS , highlights a unifying mechanism for recognition of structurally diverse partners .	22593574_s7
54	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Immunosuppression of humoral and cellular responses following chronic oral exposure to 1 , 5 , 10 , and 20 ppm N-nitrosodimethylamine ( NDMA ) was examined in CD-1 mice .	1433375_s0
55	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Monitoring of cumulative mortality and the incidence of peritoneal ascites in animals showed an NDMA dose-related mortality and hepatotoxicity .	1433375_s1
56	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	No visible changes in immunological parameters were noted at the 1 ppm NDMA dose .	1433375_s2
57	[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Immunosuppression of immunoglobulin M ( IgM ) antibody response by NDMA to sheep red blood cells ( SRBC ) was time-related , dose-related , and could be reversed within 30 d by removal of the chemical from the drinking water .	1433375_s3
58	[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Cellular immune response , monitored by allogeneic stimulation of cells in mixed lymphocyte reaction ( MLR ) , was markedly suppressed by 10 and 20 ppm NDMA .	1433375_s4
59	[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Thus , chronic exposure to NDMA , except for the low-hepatotoxic doses of nitrosamine , resulted in a marked and persistent immunosuppression of cellular and humoral responses in CD-1 mice .	1433375_s5
60	[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	In conclusion , chronic exposure to the hepatotoxic ( ascite-inducing ) doses of NDMA suppressed humoral and cellular immunity .	1433375_s6
61	[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The persistent immunosuppression could be reversed after the removal of NDMA from the drinking water .	1433375_s7
62	[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Although no direct NDMA-related cancer was reported in humans , our data point to a potential epigenetic carcinogenicity of nitrosamines due to chronic immunosuppression .	1433375_s8
63	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	AIMS Tumour cell growth results from a disturbance in the balance between the rate of proliferation and cell death .	11896073_s0
64	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	In this study , proteins involved in the regulation of cell cycle arrest and apoptosis were studied as possible factors responsible for uncontrolled cell growth in colorectal cancer .	11896073_s1
65	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	METHODS The expression of proteins involved in these processes was investigated in 48 metastases from patients with colorectal cancer and compared with eight normal colon mucosa samples and 14 primary tumours .	11896073_s2
66	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Both primary tumours and metastases were obtained from eight patients .	11896073_s3
67	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The expression of thymidylate synthase ( TS ) , p53 , retinoblastoma protein ( Rb ) , Fas receptor , Fas ligand , bcl-2 , mcl-1 , bax , and bcl-x was measured using immunohistochemistry .	11896073_s4
68	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Proliferation was determined by Ki67 staining , whereas apoptosis was assessed by M30 immunostaining , which recognises cleaved cytokeratin 18 .	11896073_s5
69	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]	RESULTS In the limited number of cases in which paired comparisons were possible , the expression of TS and Ki67 was significantly higher in metastases than in the matched primary tumour samples ( p = 0.014 and 0.016 , respectively ) , whereas Rb expression was lower in metastases than in primary tumours ( p = 0.024 ) .	11896073_s6
70	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]	Fas receptor expression was high in normal mucosa but absent in primary tumours and metastases , whereas the opposite was seen for p53 .	11896073_s7
71	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The expression of bax , mcl-1 , and bcl-x in normal mucosa was more apical than that seen in malignant cells , where a more diffuse expression pattern was seen ( p < 0.04 ) .	11896073_s8
72	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]	Apoptosis was more abundant in primary tumours than in metastases .	11896073_s9
75	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	However , the DMSO concentration used was very high , and might be toxic , in earlier studies .	21116101_s1
76	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	In the present study , we administered a lower , non-toxic concentration ( 0.5% , i.e. , 64 mM ) of DMSO before irradiation and examined its radioprotective effects .	21116101_s2
77	[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]	Colony formation assay and micronucleus assay showed significant radioprotective effects in CHO , but not in xrs5 , which is defective in the repair function of DNA double-strand breaks .	21116101_s3
78	[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]	The levels of phosphorylated H2AX and the formation of 53BP1 foci 15 minutes after irradiation , which might reflect initial DNA double-strand breaks , in DMSO-treated CHO cells were similar to those in non-treated cells , suggesting that the radioprotective effects were not attributable to the suppression of general indirect action in the lower concentration of DMSO .	21116101_s4
79	[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]	On the other hand , 2 hours after irradiation , the average number of 53BP1 foci , which might reflect residual DNA double-strand breaks , was significantly decreased in DMSO-treated CHO cells compared to non-treated cells .	21116101_s5
80	[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]	The results indicated that low concentration of DMSO exerts radioprotective effects through the facilitation of DNA double-strand break repair rather than through the suppression of indirect action .	21116101_s6
81	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Androgens regulate both the physiological development of the prostate and the pathology of prostatic diseases .	23250485_s0
82	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	However , the mechanisms by which androgens exert their regulatory activities on these processes are poorly understood .	23250485_s1
83	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]	In this study , we have determined that androgens regulate overall cell metabolism and cell growth , in part , by increasing autophagy in prostate cancer cells .	23250485_s2
85	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Mechanistically , androgen-mediated autophagy appears to promote cell growth by augmenting intracellular lipid accumulation , an effect previously demonstrated to be necessary for prostate cancer cell growth .	23250485_s4
86	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]	Further , autophagy and subsequent cell growth is potentiated , in part , by androgen-mediated increases in reactive oxygen species .	23250485_s5
87	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]	These findings demonstrate a role for increased fat metabolism and autophagy in prostatic neoplasias and highlight the potential of targeting underexplored metabolic pathways for the development of novel therapeutics .	23250485_s6
88	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Cis-diamminedichloroplatinum ( II ) ( cisplatin ) is a well characterized antitumor drug used for the treatment of a variety of human cancers .	12489119_s0
90	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The aim of this study was to determine the in vivo mutagenic activity of cisplatin in the lacZ plasmid-based transgenic mouse model .	12489119_s2
91	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The mutant frequency ( MF ) and the spectrum of mutations induced by cisplatin in the mouse liver were analyzed and compared to controls .	12489119_s3
94	[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]	A specific profile of base substitution and frameshift mutations was identified in treated mice , consisting primarily of G:C-->A:T transitions at GpG and ApG sites , the preferential DNA binding sites of cisplatin , and single basepair deletions/insertions .	12489119_s6
95	[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]	The present results provide the first evidence that cisplatin has mutagenic activity in vivo and induces a characteristic pattern of mutations in the mouse liver .	12489119_s7
96	[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]	This mutagenicity may be responsible for its tumorigenic activity .	12489119_s8
97	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	A prominent feature of inflammatory diseases is endothelial dysfunction .	23132960_s0
99	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	At the transcriptional level , they are regulated by the histone deacetylase sirtuin ( SIRT ) 1 via its actions on the proinflammatory transcription factor nuclear factor-κB ( NF-κB ) .	23132960_s2
101	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The aim of this study was to determine the effect of SIRT6 knockdown on inflammatory markers in human umbilical vein endothelial cells ( HUVECs ) in the presence of lipopolysaccharide ( LPS ) .	23132960_s4
103	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]	Knockdown of SIRT6 increased the expression of proinflammatory cytokines ( IL-1β , IL-6 , IL-8 ) , COX-prostaglandin system , ECM remodelling enzymes ( MMP-2 , MMP-9 and PAI-1 ) , the adhesion molecule ICAM-1 , and proangiogenic growth factors VEGF and FGF-2 ; cell migration ; cell adhesion to leukocytes .	23132960_s6
104	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Loss of SIRT6 increased the expression of NF-κB , whereas overexpression of SIRT6 was associated with decreased NF-κB transcriptional activity .	23132960_s7
105	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]	Taken together , these results demonstrate that the loss of SIRT6 in endothelial cells is associated with upregulation of genes involved in inflammation , vascular remodelling , and angiogenesis .	23132960_s8
106	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]	SIRT6 may be a potential pharmacological target for inflammatory vascular diseases .	23132960_s9
107	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	MicroRNAs ( miRNAs ) are small noncoding RNAs , 19-24 nucleotides in length , that regulate gene expression and are expressed aberrantly in most types of cancer .	22753494_s0
108	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	MiRNAs also have been detected in the blood of cancer patients and can serve as circulating biomarkers .	22753494_s1
109	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	It has been shown that secreted miRNAs within exosomes can be transferred from cell to cell and can regulate gene expression in the receiving cells by canonical binding to their target messenger RNAs .	22753494_s2
110	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	Here we show that tumor-secreted miR-21 and miR-29a also can function by another mechanism , by binding as ligands to receptors of the Toll-like receptor ( TLR ) family , murine TLR7 and human TLR8 , in immune cells , triggering a TLR-mediated prometastatic inflammatory response that ultimately may lead to tumor growth and metastasis .	22753494_s3
112	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	This mechanism of action of miRNAs is implicated in tumor-immune system communication and is important in tumor growth and spread , thus representing a possible target for cancer treatment .	22753494_s5
113	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The aim of the present study was to isolate endothelial cells from tooth buds ( unerupted deciduous teeth ) of miniature swine .	23435856_s0
114	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Mandibular molar tooth buds harvested from swine fetuses at fetal days90-110 were cultured in growth medium supplemented with 15% fetal bovine serum in 100-mm culture dishes until the primary cells outgrown from the tooth buds reached confluence .	23435856_s1
115	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	A morphologically defined set of pavement-shaped primary cells were picked up manually with filter paper containing trypsin/ethylenediamine tetraacetic acid solution and transferred to a separate dish .	23435856_s2
116	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	A characterization of the cellular characteristics and a functional analysis of the cultured cells at passages 3 to 5 were performed using immunofluorescence , a reverse transcriptase polymerase chain reaction assay , a tube formation assay , and transmission electron microscopy .	23435856_s3
117	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	The isolated cells grew in a pavement arrangement and showed the characteristics of contact inhibition upon reaching confluence .	23435856_s4
120	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Observation with time-lapse images showed that small groups of cells aggregated and adhered to each other to form tube-like structures .	23435856_s7
121	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Moreover , as revealed through transmission electron microscopy , these adherent cells had formed junctional complexes .	23435856_s8
122	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	These endothelial cells from the tooth buds of miniature swine are available as cell lines for studies on tube formation and use in regenerative medical science .	23435856_s9
123	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Glioma tumors are refractory to conventional treatment .	21921941_s0
125	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	In this study , we introduce oxidative stress-energy depletion ( OSED ) therapy as a new suggested treatment for glioblastoma .	21921941_s2
126	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	OSED utilizes D-amino acid oxidase ( DAO ) , which is a promising therapeutic protein that induces oxidative stress and apoptosis through generating hydrogen peroxide ( H2O2 ) .	21921941_s3
128	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Our data revealed that 3BP induced depletion of energetic capabilities of glioma cells. 3BP induced H2O2 production as a novel mechanism of its action .	21921941_s5
129	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	C6 glioma transfected with DAO and treated with D-serine together with 3BP-sensitized glioma cells to 3BP and decreased markedly proliferation , clonogenic power and viability in a three-dimensional tumor model with lesser effect on normal astrocytes .	21921941_s6
130	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	DAO gene therapy using atelocollagen as an in vivo transfection agent proved effective in a glioma tumor model in Sprague-Dawley ( SD ) rats , especially after combination with 3BP .	21921941_s7
131	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	OSED treatment was safe and tolerable in SD rats .	21921941_s8
132	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	OSED therapy may be a promising therapeutic modality for glioma .	21921941_s9
133	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Solar ultraviolet radiation is considered to be injurious rather than necessary for most organisms living on the earth .	12659514_s0
135	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	We have examined the genotoxicity of solar ultraviolet , especially the longer wavelength light , using Drosophila .	12659514_s2
136	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Recently , we have demonstrated that light of wavelength up to 340 nm is mutagenic on Drosophila larvae .	12659514_s3
139	[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	It is demonstrated that the mei-41 gene is a homologue of the human atm gene which is responsible for a cell cycle checkpoint .	12659514_s6
140	[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]	This result suggests that 310-320 nm-light induces DNA damage that is subject to nucleotide excision repair ( NER ) and that 330-360 nm-light causes damage to be recognized by the cell cycle checkpoint but it is not repairable by NER .	12659514_s7
141	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Genetic immunotherapy with tumor antigen gene-modified dendritic cells ( DC ) generates robust immunity , although antitumor protection is not complete in all models .	12386826_s0
142	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	Previous experience in a model in which C57BL/6 mice immunized with DC transduced with adenoviral vectors expressing MART-1 demonstrated a 20-40% complete protection to a tumor challenge with B16 melanoma cells .	12386826_s1
144	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	In the present study , we wished to determine if the supraphysiological production of the Th1-skewing cytokine interleukin-12 ( IL-12 ) could enhance immune activation and antitumor protection in this model .	12386826_s3
145	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	In a series of experiments immunizing mice with DC cotransduced with MART-1 and IL-12 , antitumor protection and antigen-specific splenocyte cytotoxicity and interferon gamma production inversely correlated with the amount of IL-12 produced by DC .	12386826_s4
