	text_a	text_b	label
44	At that time, he characterized his pain as chest tightening and burning, with associated radiation to his neck, jaw and arms.	 He has a history of coronary artery disease and hypertension	neutral
45	Metastatic Renal Cell Carcinoma - diagnosed in [**4-/3406**] - s/p left radical nephrectomy [**5-13**] with pathology consistent with clear cell carcinoma - s/p right upper lobe wedge resection for pulmonary metastasis [**9-14**] - right frontal lobe brain metastasis s/p resection [**4-15**] with sterotactic radiosurgery to resection site [**5-16**] - s/p high dose IL-2 [**11-15**] - s/p right bilobectomy (right upper and right middle lobe) [**1-16**] - s/p right chest wall resection [**11-17**] - s/p right lower lobe wedge resection [**4-18**] - T8 s/p cyberknife [**11-18**] - s/p sunitinib [**8-18**] complicated by hand foot syndrome, mucositis - RAD001 trial [**1-18**] to present - s/p T8 and T9 vetebrectomy and recontruction [**3413-8-18**] Hypertension Peptic Ulcer Disease (h. pylori positive) Hyperglycemia	 History of metastatic cancer	entailment
48	She had an MRI as part of her metastatic workup which revealed multiple brain metastases, the largest of which was 1.5cm.	 Patient has cancer	entailment
50	She had an MRI as part of her metastatic workup which revealed multiple brain metastases, the largest of which was 1.5cm.	 Patient has disease through her body	neutral
51	He was able to keep the milk down and at no time vomited or aspirated.	 the patient is an infant	entailment
55	CXR showed low lung volumes, no focal consolidation or pleural effusion, minimal left basilar atelectasis.	 Patient has well expanded lungs	contradiction
56	CXR showed low lung volumes, no focal consolidation or pleural effusion, minimal left basilar atelectasis.	 Patient has early aspiration	neutral
58	The patient denied any cough, dysuria, headache, photophobia, stiff neck, or diarrhea.	 The patient complains of painful urination	contradiction
60	She is currently in stable condition and off of pressors and IABP.	 She was treated for a cardiac condition	entailment
61	She is currently in stable condition and off of pressors and IABP.	 She has no history of cardiac disease	contradiction
62	She is currently in stable condition and off of pressors and IABP.	 She has a history of myocardial infarction	neutral
63	He was given depakote for seizure prevention as well as ativan.	 the patient has a history of seizures	entailment
65	He was given depakote for seizure prevention as well as ativan.	 the patient has a brain tumor	neutral
66	75 y/o M w/ atrial fibrillation, HTN, dyslipidemia, and DVT (while on coumadin so now on lovenox) who persented with a 1 day history of worsening SOB and cough productive of clear sputum.	 the patient has shortness of breath	entailment
67	75 y/o M w/ atrial fibrillation, HTN, dyslipidemia, and DVT (while on coumadin so now on lovenox) who persented with a 1 day history of worsening SOB and cough productive of clear sputum.	 the patient denies difficulty breathing	contradiction
69	History of TIA [**5-/3025**] with left hemi[** Location **] that resolved.	 Patient has a focal neurological deficit	entailment
70	History of TIA [**5-/3025**] with left hemi[** Location **] that resolved.	 Patient has no symptoms	contradiction
71	History of TIA [**5-/3025**] with left hemi[** Location **] that resolved.	 Patient has abnormal brain MRI	neutral
73	Her abdominal exam was benign.	 The patient has peritoneal signs. 	contradiction
74	Her abdominal exam was benign.	 The patient does not have an acute intraabdominal process. 	neutral
75	GASTROINTESTINAL:  [**Known patient lastname 635**] was started on Reglan and Zantac on [**10-16**] to maximize medical therapy that may be contributing to his apneic and bradycardic episodes.	 He has had slow heart rate and suspension of breathing	entailment
77	GASTROINTESTINAL:  [**Known patient lastname 635**] was started on Reglan and Zantac on [**10-16**] to maximize medical therapy that may be contributing to his apneic and bradycardic episodes.	 He has a history of obesity	neutral
80	He took some oxycodone without relief.	 He has abdominal pain	neutral
81	VRE septic thrombophlebitis in IJ ([**1-19**]) s/p linezolid) 6.	 the patient had an infection in the ij	entailment
82	VRE septic thrombophlebitis in IJ ([**1-19**]) s/p linezolid) 6.	 the patient has no history of infection	contradiction
84	She was seen by ID at [**Hospital1 294**] on [**6-17**] who felt this was less likely an infectious process.	 The patient was evaluated by infectious disease specialists  	entailment
85	She was seen by ID at [**Hospital1 294**] on [**6-17**] who felt this was less likely an infectious process.	 The patient was suspected to have tuberculosis 	contradiction
86	She was seen by ID at [**Hospital1 294**] on [**6-17**] who felt this was less likely an infectious process.	 The patient has a fever and elevated white count  	neutral
88	Pacemaker for sick sinus syndrome.	 Pacemakers are used for pulmonary edema. 	contradiction
89	Pacemaker for sick sinus syndrome.	 Patients with a pacemakers have atrial fibrillation. 	neutral
90	EMS found her at home where she admitted to ingesting 60mg Cymbalta, 12mg Cyproheptadine, and 22mg Klonopin with an entire bottle of wine (750cc).	 She intentionally overdosed on prescription medication 	entailment
92	EMS found her at home where she admitted to ingesting 60mg Cymbalta, 12mg Cyproheptadine, and 22mg Klonopin with an entire bottle of wine (750cc).	 She has a history of depression	neutral
93	He underwent partial vertebrectomy, fusion, debridement, and vertebral spacer placement at L3-L4 on [**3313-12-1**]. .	 Patient has had spinal intervention	entailment
94	He underwent partial vertebrectomy, fusion, debridement, and vertebral spacer placement at L3-L4 on [**3313-12-1**]. .	 Patient has no PSH	contradiction
95	He underwent partial vertebrectomy, fusion, debridement, and vertebral spacer placement at L3-L4 on [**3313-12-1**]. .	 Patient has back pain	neutral
99	Came to ED complaining of vomiting and weakness.	 Patient has upper GI pain	entailment
100	Came to ED complaining of vomiting and weakness.	 Patient has negative ROS	contradiction
103	CAD: CAD s/p CABG (LIMA to LAD, SVG to OM) s/p PCI ([**3-4**]) 2.	 patient has no cardiac history	contradiction
104	CAD: CAD s/p CABG (LIMA to LAD, SVG to OM) s/p PCI ([**3-4**]) 2.	 patient has heart failure	neutral
105	Underwent ORIF of R knee on [**11-19**] due to non-[**Hospital1 **]. - s/p repair of R ruptured patellar tendon in [**3227**] .	 Patient has had trauma	entailment
107	Underwent ORIF of R knee on [**11-19**] due to non-[**Hospital1 **]. - s/p repair of R ruptured patellar tendon in [**3227**] .	 Patient has knee pain	neutral
108	Recurrent pleural effusion- unclear etiology, cytology negative in the past.	 the patient has recurrent pleural effusions	entailment
112	age [**7-24**]  ARF with arthritis, heart murmur. age 20    Hypertension, 4+ labile with some [**Month/Year (2) 21269**] of 200/100 for which he has gone to ED for control.	 Cardiac function is normal	contradiction
114	She denied any loss of consciousness or focal pain.	 She was awake and alert	entailment
115	She denied any loss of consciousness or focal pain.	 She is unconscious	contradiction
116	She denied any loss of consciousness or focal pain.	 She has a history of head trauma	neutral
117	83 yo female w/ PMHX sig for HTN, CHF w/ diastolic dysfunction, right renal artery stenosis p/w increased lethargy and unresponsiveness for 1 day.	 The patient has a cardiac condition. 	entailment
118	83 yo female w/ PMHX sig for HTN, CHF w/ diastolic dysfunction, right renal artery stenosis p/w increased lethargy and unresponsiveness for 1 day.	 The patient has a normal functioning heart. 	contradiction
119	83 yo female w/ PMHX sig for HTN, CHF w/ diastolic dysfunction, right renal artery stenosis p/w increased lethargy and unresponsiveness for 1 day.	 The patient developed diastolic dysfunction from longstanding hypertension. 	neutral
121	States the pain was similar to that she had when she had her [** Location **]us MI's.	 Patient has normal EKG	contradiction
122	States the pain was similar to that she had when she had her [** Location **]us MI's.	 Patient has elevated troponin	neutral
123	47 year old female with HepC/Cirrhosis on liver [**Month/Day/Year 1222**] list, referred for abnormal labs, WBC of 77K on [**7-7**].	 The patient has findings consistent with an infection. 	entailment
125	47 year old female with HepC/Cirrhosis on liver [**Month/Day/Year 1222**] list, referred for abnormal labs, WBC of 77K on [**7-7**].	 The patient has spontaneous bacterial peritonitis. 	neutral
129	When she arrived in ED, VS showed SBP in 70s, 02 sats 97%, HR 68 Labetalol stopped and given IVFs with return of SBPS to 90s-100s.	 The patient has a past medical history of hypertension. 	entailment
130	When she arrived in ED, VS showed SBP in 70s, 02 sats 97%, HR 68 Labetalol stopped and given IVFs with return of SBPS to 90s-100s.	 The patient does not take any medications. 	contradiction
131	When she arrived in ED, VS showed SBP in 70s, 02 sats 97%, HR 68 Labetalol stopped and given IVFs with return of SBPS to 90s-100s.	 The patient had an overdose of labetalol. 	neutral
132	Total cardiopulmonary bypass time was 113 minutes.	 Patient has had a CABG	entailment
133	Total cardiopulmonary bypass time was 113 minutes.	 Patient has no CAD	contradiction
134	Total cardiopulmonary bypass time was 113 minutes.	 Patient has PAD	neutral
135	The patient was subsequently started on Levophed at 0.03mcg/kg/min.	 The patient was started on Norepinephrine	entailment
136	The patient was subsequently started on Levophed at 0.03mcg/kg/min.	 The patient had no indication for Norepinephrine	contradiction
137	The patient was subsequently started on Levophed at 0.03mcg/kg/min.	 The patient has septic shock	neutral
140	Baby girl [**Known patient lastname 39746**] was born by a repeat scheduled cesarean section with an Apgar score of 4 at one minute, 5 at five minutes, and 7 at ten minutes.	 The patient was born premature. 	neutral
141	He was responsive to commands and was trying to sit up.	 He was able to react when spoken to 	entailment
142	He was responsive to commands and was trying to sit up.	 He was comatose	contradiction
144	She started taking ibuprofen for it at [**First Name8 (NamePattern2) **] [**Last Name (un) 5416**] dose.	 The patient is taking pain medicine. 	entailment
145	She started taking ibuprofen for it at [**First Name8 (NamePattern2) **] [**Last Name (un) 5416**] dose.	 The patient is not in pain. 	contradiction
146	She started taking ibuprofen for it at [**First Name8 (NamePattern2) **] [**Last Name (un) 5416**] dose.	 The patient has a musculoskeletal injury. 	neutral
147	In the ED, was noted to have initial FSBS 142 at 17:55, then drifted to 74, at 18:30, and started on D10 drip at 100/hr, since then sugars have been 83-143-11 every 40 minutes.	 The patient had falling blood sguars.	entailment
148	In the ED, was noted to have initial FSBS 142 at 17:55, then drifted to 74, at 18:30, and started on D10 drip at 100/hr, since then sugars have been 83-143-11 every 40 minutes.	 The patient has normal blood glucose values.	contradiction
149	In the ED, was noted to have initial FSBS 142 at 17:55, then drifted to 74, at 18:30, and started on D10 drip at 100/hr, since then sugars have been 83-143-11 every 40 minutes.	 The patient had insulin overdose.	neutral
150	Hemi-sternotomy and lead extraction on [**3090-11-5**].	 patient has history of lead extraction	entailment
153	Recurrence noted on brain biopsy by [**2663-5-19**].	 Abnormal brain biopsy	entailment
154	Recurrence noted on brain biopsy by [**2663-5-19**].	 Brain biopsy is normal	contradiction
155	Recurrence noted on brain biopsy by [**2663-5-19**].	 Intracranial neoplasm	neutral
156	She was started on a bicarbonate drip and given charcoal for a presumed TCA overdose.	 She was treated for possible overdose on tricyclic antidepressants	entailment
157	She was started on a bicarbonate drip and given charcoal for a presumed TCA overdose.	 No indication of drug overdose	contradiction
159	On arrival to the [**Name (NI) **], pt's VS: T 98.7, HR 128, BP 111/55, RR 20, Sa02 100% on 2L.	 The patient’s heart rate is high 	entailment
160	On arrival to the [**Name (NI) **], pt's VS: T 98.7, HR 128, BP 111/55, RR 20, Sa02 100% on 2L.	 The patient is hypertensive 	contradiction
161	On arrival to the [**Name (NI) **], pt's VS: T 98.7, HR 128, BP 111/55, RR 20, Sa02 100% on 2L.	 The patient has a history of COPD	neutral
162	Her initial evaluation was by Dr. [**Last Name (STitle) 8265**] [**Name (STitle) 8266**] and at that time patient was upper quadrant pain, no nausea, vomiting, fever, chills or fatigue, hepatosplenomegaly, jaundice or encephalopathy.	 She was previously evaluated for abdominal pain	entailment
163	Her initial evaluation was by Dr. [**Last Name (STitle) 8265**] [**Name (STitle) 8266**] and at that time patient was upper quadrant pain, no nausea, vomiting, fever, chills or fatigue, hepatosplenomegaly, jaundice or encephalopathy.	 She has had no recent complaints of abdominal pain	contradiction
165	I indicated to him that he has had a symptomatic manifestation of a tumor which likely is malignant in its nature.	 The patient has a tumor which is likely malignant.	entailment
167	I indicated to him that he has had a symptomatic manifestation of a tumor which likely is malignant in its nature.	 The patient has lung cancer.	neutral
168	53 year-old male with progressive multiple sclerosis and recent episode of urosepsis admitted from PCP's office with generalized weakness and tachycardia.	 Patient has history of UTIs	entailment
170	53 year-old male with progressive multiple sclerosis and recent episode of urosepsis admitted from PCP's office with generalized weakness and tachycardia.	 Patient has a neurological disorder	neutral
173	SVT v. atrial flutter v. atrial fibrillation seen on multiple EKGs.	 The patient has congestive heart failure. 	neutral
175	Cardiac catheterization showed CO 4.09, CI 1.95, PCWP 21, RA 12, PA 51/22 LMCA normal LAD: midsegment 80% lesion with modest calcium LCX: non-domninant vessel with mid-segment 90% lesion after OM1.	 patient has normal coronary arteries	contradiction
177	By [**3-23**], his bicarb had increased to 12 and his creatinine had improved to 1.4.	 Patient has improving lab values	entailment
178	By [**3-23**], his bicarb had increased to 12 and his creatinine had improved to 1.4.	 Patient has normal Cr	contradiction
180	The leg from just above the knee was cool and mottled.	 Patient has poor limb perfusion	entailment
183	The test was discontinued and the patient's EKG changes initially largely resolved.	 The patient had an abnormal EKG	entailment
184	The test was discontinued and the patient's EKG changes initially largely resolved.	 EKG changes resolved with cardioconversion	contradiction
185	The test was discontinued and the patient's EKG changes initially largely resolved.	 The patient has a history of arrhythmia 	neutral
186	She does not answer ROS questions at this time.	 She is a poor historian at this time 	entailment
188	She does not answer ROS questions at this time.	 She is agitated 	neutral
190	44 yo male presents with multiple stab wounds over left chest and flank with diaphragmatic injury and liver laceration.	 Patient presents with no wounds	contradiction
192	IVDU on methadone 5.	 The patient receives methadone to supplement the opiate cravings. 	entailment
193	IVDU on methadone 5.	 The patient takes no medication. 	contradiction
194	IVDU on methadone 5.	 The patient had hepatitis C. 	neutral
195	Transient ischemic attack in [**2524**].	 the patient has a history of TIA	entailment
196	Transient ischemic attack in [**2524**].	 the patient has no neurologic history	contradiction
198	X-ray     revealed an unusual opacity in the left lateral aspect     of the left upper lobe and lucency medially.	 The patient has a finding of possible pneumonia. 	entailment
199	X-ray     revealed an unusual opacity in the left lateral aspect     of the left upper lobe and lucency medially.	 The patient has a clear chest X-ray. 	contradiction
200	X-ray     revealed an unusual opacity in the left lateral aspect     of the left upper lobe and lucency medially.	 The patient has a left upper lobe pneumonia. 	neutral
201	She had had 2 prior episodes of tongue numbness, her 1st episode on [**3-/2903**] without notable consequences and did not tell anyone of these prior episodes.	 The patient has intermittent numbness.	entailment
205	She then became lethargic and became unresponsive and dilated her left pupil.	 The patient has a normal neurological exam.	contradiction
207	At that point, the patient decided to come to [**Hospital1 52**] to be seen by her oncologist Dr. [**First Name (STitle) 2609**].	 The patient has cancer. 	entailment
208	At that point, the patient decided to come to [**Hospital1 52**] to be seen by her oncologist Dr. [**First Name (STitle) 2609**].	 The patient has no history of malignancy. 	contradiction
209	At that point, the patient decided to come to [**Hospital1 52**] to be seen by her oncologist Dr. [**First Name (STitle) 2609**].	 The patient has colon cancer. 	neutral
210	He was reportedly driving a stolen car and being pursued by the police.	 The patient is incarcerated. 	entailment
211	He was reportedly driving a stolen car and being pursued by the police.	 The patient has no history of police contact. 	contradiction
212	He was reportedly driving a stolen car and being pursued by the police.	 The patient is drunk. 	neutral
213	ENT evaluated the patient and noticed that there was swelling of the uvula and epiglottis with frank bleeding from the left tonsillar pole.	 There is bleeding in the oropharynx	entailment
214	ENT evaluated the patient and noticed that there was swelling of the uvula and epiglottis with frank bleeding from the left tonsillar pole.	 Oropharyx appears normal 	contradiction
215	ENT evaluated the patient and noticed that there was swelling of the uvula and epiglottis with frank bleeding from the left tonsillar pole.	 The patient has difficulty breathing	neutral
217	[**Known patient lastname 28289**] is a 65-year-old woman with a [** Location **]us history of Hodgkin lymphoma, who was noted to have dyspnea and found to have a large, slightly loculated right pleural effusion.	 the patient has a normal chest x ray	contradiction
218	[**Known patient lastname 28289**] is a 65-year-old woman with a [** Location **]us history of Hodgkin lymphoma, who was noted to have dyspnea and found to have a large, slightly loculated right pleural effusion.	 the patient has a malignant effusion	neutral
219	Because of her [** Location **]us admissions for poorly controlled diabetes, electrolytes were checked and the pt was found to have a gap of 26, with a glucose in the 400s, and ketonuria.	 Patient has ketoacidosis	entailment
220	Because of her [** Location **]us admissions for poorly controlled diabetes, electrolytes were checked and the pt was found to have a gap of 26, with a glucose in the 400s, and ketonuria.	 Patient has normal serum glucose	contradiction
221	Because of her [** Location **]us admissions for poorly controlled diabetes, electrolytes were checked and the pt was found to have a gap of 26, with a glucose in the 400s, and ketonuria.	 Patient has lower blood pH	neutral
222	History of gastric varices.	 History of gastrointestinal disease	entailment
225	"He had ""barely a gag"" reflex in the ED but did give him etomidate and succinylcholine for intubation."	 patient is obtunded	entailment
226	"He had ""barely a gag"" reflex in the ED but did give him etomidate and succinylcholine for intubation."	 patient is alert	contradiction
227	"He had ""barely a gag"" reflex in the ED but did give him etomidate and succinylcholine for intubation."	 patient has hypoxic brain injury	neutral
228	Renal cell carcinoma, status post partial nephrectomy in [**12-19**].	 Patient has cancer	entailment
229	Renal cell carcinoma, status post partial nephrectomy in [**12-19**].	 Patient has no malignancy	contradiction
232	Reports having had a mechanical fall on the morning of admission when he leaned forward on a folding food table that subsequently collapsed.	 the patient has no history of falls	contradiction
233	Reports having had a mechanical fall on the morning of admission when he leaned forward on a folding food table that subsequently collapsed.	 the patient has a fracture	neutral
235	Lumbar puncture was done, which was concerning for bacterial meningitis, and the patient was started on ceftazidime.	 Patient has no symptoms	contradiction
236	Lumbar puncture was done, which was concerning for bacterial meningitis, and the patient was started on ceftazidime.	 Patient requires ICU care 	neutral
237	HISTORY OF PRESENT ILLNESS:  The patient is a 64 year old woman, well known to the neurosurgery service.	 the patient has a neurosurgical history	entailment
240	She also notes a 4 lb weight gain at the time of admission.	 patient has weight gain.	entailment
242	She also notes a 4 lb weight gain at the time of admission.	 patient has heart failure.	neutral
244	She was satting 93% on RA, and 100% on 4L face mask.	 the patient is hypoxic	contradiction
245	She was satting 93% on RA, and 100% on 4L face mask.	 the patient complains of shortness of breath	neutral
246	She had no fevers/chills/sweats prior to coming to the hosptial.	 Patient had a negative ROS	entailment
247	She had no fevers/chills/sweats prior to coming to the hosptial.	 Patient had an elevated temperature	contradiction
249	Resuscitation was begun, TEE revealed that there was air in the left ventricle.	 Patient has an air embolism	entailment
251	Resuscitation was begun, TEE revealed that there was air in the left ventricle.	 Patient has a poor prognosis	neutral
252	On [**1-24**], the patient began experiencing tachypnea and worsening pain w/ splinting.	 the patient has tachypnea	entailment
253	On [**1-24**], the patient began experiencing tachypnea and worsening pain w/ splinting.	 the patient denies chest pain	contradiction
254	On [**1-24**], the patient began experiencing tachypnea and worsening pain w/ splinting.	 the patient has a pulmonary embolism	neutral
255	MEC protocol started [**3386-7-2**].	 The patient is receiving chemotherapy. 	entailment
258	There is mild pulmonary artery systolic hypertension.	 Patient has a chronic condition	entailment
259	There is mild pulmonary artery systolic hypertension.	 Patient has normal right atrial pressures	contradiction
260	There is mild pulmonary artery systolic hypertension.	" Patient has 	right ventricular enlargement"	neutral
262	For two weeks prior to admission on [**2574-7-14**], patient had worsening rash and worsening fever.	 the patient had no rash	contradiction
264	Due to persistent and moderate distress, the infant was brought to the newborn intensive care unit for evaluation.	 patient has respiratory distress	entailment
265	Due to persistent and moderate distress, the infant was brought to the newborn intensive care unit for evaluation.	 patient has no symptoms	contradiction
266	Due to persistent and moderate distress, the infant was brought to the newborn intensive care unit for evaluation.	 patient has transient tachypnea of the newborn	neutral
267	57 year old male with HTN, hypercholesterolemia, OSA, who presents with one week of cough and shortness of breath with exertion for 2 days.	 Patient has abdominal blood pressure	entailment
268	57 year old male with HTN, hypercholesterolemia, OSA, who presents with one week of cough and shortness of breath with exertion for 2 days.	 Patient has normal cholesterol	contradiction
269	57 year old male with HTN, hypercholesterolemia, OSA, who presents with one week of cough and shortness of breath with exertion for 2 days.	 Patient is on medications	neutral
271	The patient understood the risks and benefits of the procedure, including but not limited to bleeding, infection, myocardial infarction, stroke, death, renal and pulmonary insufficiency, as the possibility of a blood transfusion and future revascularization procedures.	 the patient did not understand the risks of the procedure	contradiction
273	Patient received acetaminophen 1 gram PO, 500cc IVF bolus, Toradol, and aspirin.	 Patient received pain medication	entailment
275	Patient received acetaminophen 1 gram PO, 500cc IVF bolus, Toradol, and aspirin.	 Patient has chronic pain	neutral
278	Hypertension diagnosed in [**3186**].	 Patient is on medications for HTN	neutral
282	The patient received two units of RBC, two liters normal saline increasing the patient's blood pressure.	 Patient has been transfused	entailment
283	The patient received two units of RBC, two liters normal saline increasing the patient's blood pressure.	 Patient has no anemia	contradiction
284	The patient received two units of RBC, two liters normal saline increasing the patient's blood pressure.	 Patient has an IV site placed	neutral
285	This is a 54yoM w/h/o laparoscopic gastric bypass([**7-17**]) transferred from an OSH who p/w chest pain, HCT drop, and paricardial effusion.	 The patient has a cardiac condition. 	entailment
286	This is a 54yoM w/h/o laparoscopic gastric bypass([**7-17**]) transferred from an OSH who p/w chest pain, HCT drop, and paricardial effusion.	 The patient has no prior surgical history.	contradiction
287	This is a 54yoM w/h/o laparoscopic gastric bypass([**7-17**]) transferred from an OSH who p/w chest pain, HCT drop, and paricardial effusion.	 The patient had a recent myocardial infarction. 	neutral
288	She reported mild nasal congestion and subjective fevers.	 Patient has sinusitis	entailment
293	"EGD disclosed ""a few superficial non-bleeding 3 mm ulcers in the pylorus and incisura of the stomach."	 The patient complains of abdominal pain	neutral
294	Over the course of the next two hospital days, the pt's arterial blood gases showed decreased hypercapnia and improved arterial oxygenation.	 The patient has an improving respiratory status. 	entailment
295	Over the course of the next two hospital days, the pt's arterial blood gases showed decreased hypercapnia and improved arterial oxygenation.	 The patient has a normal respiratory status. 	contradiction
296	Over the course of the next two hospital days, the pt's arterial blood gases showed decreased hypercapnia and improved arterial oxygenation.	 The patient is intubated. 	neutral
297	Right hand tendonitis 4. s/p T and A 5.	 Patient has hand pain	entailment
298	Right hand tendonitis 4. s/p T and A 5.	 Patient has negative ROS	contradiction
299	Right hand tendonitis 4. s/p T and A 5.	 Patient has findings on X-ray	neutral
300	His O2Sat remains above 90% on room air but appears to drop when patient falls asleep.	 Patient has OND	entailment
301	His O2Sat remains above 90% on room air but appears to drop when patient falls asleep.	 Patient has normal O2 sats	contradiction
302	His O2Sat remains above 90% on room air but appears to drop when patient falls asleep.	 Patient has CHF	neutral
304	Transferred from OSH to [**Hospital1 22**] for cath with revealed 3vd and left main disease.	 The patient has no cardiac disease	contradiction
305	Transferred from OSH to [**Hospital1 22**] for cath with revealed 3vd and left main disease.	 The patient has a history of hypertension, hyperlipidemia and obesity 	neutral
306	He was started empirically on zosyn for aspiration pneumonia; UA was positive for UTI with pseudomonas.	 The patient has a urinary tract infection. 	entailment
307	He was started empirically on zosyn for aspiration pneumonia; UA was positive for UTI with pseudomonas.	 The patient has clear lungs. 	contradiction
308	He was started empirically on zosyn for aspiration pneumonia; UA was positive for UTI with pseudomonas.	 The patient has dysphagia. 	neutral
309	The tumor was ER+/HER-2-NEU positive, and she is undergoing Tamoxifen therapy.	 Patient has breast cancer	entailment
310	The tumor was ER+/HER-2-NEU positive, and she is undergoing Tamoxifen therapy.	 Patient has no history of malignancy	contradiction
311	The tumor was ER+/HER-2-NEU positive, and she is undergoing Tamoxifen therapy.	 Patient has abnormal PET/CT	neutral
313	Has chronic hypertension treated with Labetalol and hypothyroidism treated with Thyroxine.	 the patient has normal blood pressure	contradiction
314	Has chronic hypertension treated with Labetalol and hypothyroidism treated with Thyroxine.	 the patient has coronary artery disease	neutral
316	She presented on the date of admission for workup management per her primary care physician.	 The patient does not have a primary medical doctor. 	contradiction
318	Delivery proceeded via vaginal route and infant emerged with good tone, but limited respiratory effort and poor aeration.	 Patient has been born with sub-par Apgar’s	entailment
319	Delivery proceeded via vaginal route and infant emerged with good tone, but limited respiratory effort and poor aeration.	 Patient has high O2 saturations	contradiction
320	Delivery proceeded via vaginal route and infant emerged with good tone, but limited respiratory effort and poor aeration.	 Patient is a female infant	neutral
